VendorNumber,VendorName,Brand,Description,TotalPurchaseQuantity,TotalPurchaseDollars,TotalFreightCost,TotalSalesQuantity,TotalSalesDollars,TotalExciseTax,GrossProfit,GrossMarginPct,SalesToPurchaseRatio,TotalBeginInventory,TotalEndInventory,AvgInventory,InventoryTurnoverRatio
516,"BANFI PRODUCTS CORP        ",15036,"Castello Banfi Excelsus",17,634.61,630.19,10,655.90,1.10,21.29,3.25,0.59,2,9,5.5000,1.82
516,"BANFI PRODUCTS CORP        ",15037,"Banfi Poggio Alle Mura Montl",163,6627.58,2589.28,140,9308.60,15.58,2681.02,28.80,0.86,12,35,23.5000,5.96
516,"BANFI PRODUCTS CORP        ",15043,"Cuvee Aurora Rose Sparkling",300,4725.00,5626.93,320,7380.80,35.39,2655.80,35.98,1.07,136,116,126.0000,2.54
516,"BANFI PRODUCTS CORP        ",15300,"Riunite D'Oro Moscato",24,98.40,226.31,7,41.93,0.78,-56.47,-134.68,0.29,NULL,NULL,NULL,NULL
516,"BANFI PRODUCTS CORP        ",15482,"C Y Toro Frontera Carmenere",980,5840.80,17549.95,977,9385.73,217.99,3544.93,37.77,1.00,225,228,226.5000,4.31
516,"BANFI PRODUCTS CORP        ",15620,"C Y Toro Casillero Diab Malb",2234,14967.80,19868.83,2140,21557.60,237.55,6589.80,30.57,0.96,472,566,519.0000,4.12
516,"BANFI PRODUCTS CORP        ",15761,"Cantine Maschio Prosecco Brt",1631,4061.19,6816.82,1565,5931.35,43.76,1870.16,31.53,0.96,24,90,57.0000,27.46
516,"BANFI PRODUCTS CORP        ",16266,"Walnut Crest Malbec",6,34.80,77.13,6,59.94,1.35,25.14,41.94,1.00,NULL,NULL,NULL,NULL
516,"BANFI PRODUCTS CORP        ",16708,"Bolla Valpo Ripasso Cls Sup",54,390.42,725.98,54,683.46,6.07,293.04,42.88,1.00,NULL,NULL,NULL,NULL
516,"BANFI PRODUCTS CORP        ",16829,"C Y Toro Gran Reserva Cab Sv",2186,20810.72,43473.13,2117,29999.83,234.79,9189.11,30.63,0.97,337,406,371.5000,5.70
516,"BANFI PRODUCTS CORP        ",16830,"C Y Toro Gran Rsva Carmenere",1222,11792.30,14558.85,948,12490.52,105.66,698.22,5.59,0.78,NULL,NULL,NULL,NULL
516,"BANFI PRODUCTS CORP        ",16987,"Trivento Birds & Bees Sw Red",36,168.48,194.64,36,244.44,4.05,75.96,31.08,1.00,NULL,NULL,NULL,NULL
516,"BANFI PRODUCTS CORP        ",17063,"Ch Tanunda Gr Barossa Cab Sv",346,3688.36,3004.66,265,4326.35,29.38,637.99,14.75,0.77,113,194,153.5000,1.73
516,"BANFI PRODUCTS CORP        ",17172,"Riunite Sweet White",1,4.10,253.19,27,161.73,2.98,157.63,97.46,27.00,26,0,13.0000,2.08
516,"BANFI PRODUCTS CORP        ",17202,"Natura Malbec Ville de Rapel",1294,7919.28,11434.16,1397,13972.03,155.43,6052.75,43.32,1.08,386,283,334.5000,4.18
516,"BANFI PRODUCTS CORP        ",17967,"Banfi Principessa Gavia Gav",4445,39827.20,44475.80,4362,62798.38,485.67,22971.18,36.58,0.98,1016,1099,1057.5000,4.12
516,"BANFI PRODUCTS CORP        ",18027,"Banfi Rosa Regale",6771,61480.68,51767.17,6304,96735.56,701.95,35254.88,36.44,0.93,2284,2751,2517.5000,2.50
516,"BANFI PRODUCTS CORP        ",18096,"Bolla Amarone Valpolicella",1289,26991.66,21778.52,1230,39256.70,136.02,12265.04,31.24,0.95,354,413,383.5000,3.21
516,"BANFI PRODUCTS CORP        ",18142,"Banfi Brunello Montalcino",1203,48601.20,16455.59,1887,111974.13,209.78,63372.93,56.60,1.57,1414,730,1072.0000,1.76
516,"BANFI PRODUCTS CORP        ",18152,"Banfi Centine Mntcln Tscna",12783,67238.58,75206.13,13305,131280.55,1488.61,64041.97,48.78,1.04,3634,3112,3373.0000,3.94
516,"BANFI PRODUCTS CORP        ",18275,"Sartori Valpolicella Cls",144,1182.24,910.96,121,1597.79,13.52,415.55,26.01,0.84,12,35,23.5000,5.15
