VendorNumber,VendorName,Brand,Description,TotalPurchaseQuantity,TotalPurchaseDollars,TotalFreightCost,TotalSalesQuantity,TotalSalesDollars,TotalExciseTax,GrossProfit,GrossMarginPct,SalesToPurchaseRatio,TotalBeginInventory,TotalEndInventory,AvgInventory,InventoryTurnoverRatio
3960,"DIAGEO NORTH AMERICA INC   ",1383,"Smirnoff Red White & Berry",6768,54279.36,2001426.73,6766,74398.34,5326.79,20118.98,27.04,1.00,NULL,NULL,NULL,NULL
3960,"DIAGEO NORTH AMERICA INC   ",1384,"Bulleit 95 Rye",18900,357777.00,3702319.13,17620,470254.80,13877.41,112477.80,23.92,0.93,2554,3834,3194.0000,5.52
3960,"DIAGEO NORTH AMERICA INC   ",1386,"George Dickel No 8 Bourbon",2095,30566.05,633425.71,1910,41049.90,1506.06,10483.85,25.54,0.91,358,543,450.5000,4.24
3960,"DIAGEO NORTH AMERICA INC   ",1424,"Bulleit Bourbon",13226,128159.94,3562975.56,12359,178095.41,4851.16,49935.47,28.04,0.93,196,1063,629.5000,19.63
3960,"DIAGEO NORTH AMERICA INC   ",1474,"George Dickel #12 Sour Mash",60,1190.40,14761.29,65,1718.35,51.26,527.95,30.72,1.08,25,20,22.5000,2.89
3960,"DIAGEO NORTH AMERICA INC   ",1489,"Crown Royal Cornerstone Blnd",896,42999.04,68891.07,859,51531.41,676.77,8532.37,16.56,0.96,NULL,NULL,NULL,NULL
3960,"DIAGEO NORTH AMERICA INC   ",1532,"Crown Royal Honey Limited",1724,29359.72,132453.19,1724,39950.76,1357.51,10591.04,26.51,1.00,NULL,NULL,NULL,NULL
3960,"DIAGEO NORTH AMERICA INC   ",1598,"Johnnie Walker Odyssey",11,8100.73,27056.36,9,8549.91,7.11,449.18,5.25,0.82,9,11,10.0000,0.90
3960,"DIAGEO NORTH AMERICA INC   ",1623,"Bulleit 95 Rye",9542,96087.94,2553957.90,9104,131243.96,3570.25,35156.02,26.79,0.95,771,1209,990.0000,9.20
3960,"DIAGEO NORTH AMERICA INC   ",1648,"Port Dundas 12 Yr Scotch",300,11808.00,0.00,41,2049.59,32.38,-9758.41,-476.12,0.14,NULL,NULL,NULL,NULL
3960,"DIAGEO NORTH AMERICA INC   ",1657,"Dalwhinnie Distillers Edtion",1042,53621.32,487119.87,1013,70899.87,798.58,17278.55,24.37,0.97,162,191,176.5000,5.74
3960,"DIAGEO NORTH AMERICA INC   ",1740,"Glenkinchie 12 YO Scotch",317,12905.07,102283.26,318,18790.82,250.84,5885.75,31.32,1.00,194,193,193.5000,1.64
3960,"DIAGEO NORTH AMERICA INC   ",1761,"Bulleit 95 Rye",1,27.77,4028.35,1,34.99,1.05,7.22,20.63,1.00,NULL,NULL,NULL,NULL
3960,"DIAGEO NORTH AMERICA INC   ",1779,"Forged Oak Bourbon Whiskey",99,4629.24,52237.07,99,6434.01,78.05,1804.77,28.05,1.00,NULL,NULL,NULL,NULL
3960,"DIAGEO NORTH AMERICA INC   ",1798,"Talisker Distillers Edition",519,26515.71,263709.64,534,37374.66,421.28,10858.95,29.05,1.03,189,174,181.5000,2.94
3960,"DIAGEO NORTH AMERICA INC   ",1848,"Oban Little Bay Single Malt",2259,106195.59,621385.85,2242,135382.58,1767.26,29186.99,21.56,0.99,203,220,211.5000,10.60
3960,"DIAGEO NORTH AMERICA INC   ",1868,"Lagavulin Single Malt 16-Yr",7821,388078.02,1960878.34,7644,550740.56,6022.61,162662.54,29.54,0.98,1077,1254,1165.5000,6.56
3960,"DIAGEO NORTH AMERICA INC   ",1869,"Oban 14-Yr Single Malt",9892,397064.88,2535824.73,9219,549291.81,7262.52,152226.93,27.71,0.93,709,1382,1045.5000,8.82
3960,"DIAGEO NORTH AMERICA INC   ",1870,"Oban Distiller's Edition",1287,76821.03,649397.95,1291,103267.09,1017.89,26446.06,25.61,1.00,220,216,218.0000,5.92
3960,"DIAGEO NORTH AMERICA INC   ",1882,"Seagrams 7 Crown",144,532.80,4883.28,50,249.50,19.65,-283.30,-113.55,0.35,NULL,NULL,NULL,NULL
3960,"DIAGEO NORTH AMERICA INC   ",1883,"Seagrams 7 Crown",32253,426707.19,15626388.96,32430,583415.70,59584.78,156708.51,26.86,1.01,3194,3017,3105.5000,10.44
3960,"DIAGEO NORTH AMERICA INC   ",1885,"Seagrams 7 PET",60,479.40,4883.28,60,599.40,47.25,120.00,20.02,1.00,NULL,NULL,NULL,NULL
3960,"DIAGEO NORTH AMERICA INC   ",1886,"Seagrams 7 Crown",9824,78199.04,2676559.33,9804,107745.96,7725.51,29546.92,27.42,1.00,1024,1044,1034.0000,9.48
3960,"DIAGEO NORTH AMERICA INC   ",1891,"Oban 18 Yr Single Malt",603,48233.97,216687.83,554,56854.46,436.76,8620.49,15.16,0.92,3,52,27.5000,20.15
3960,"DIAGEO NORTH AMERICA INC   ",1892,"Yukon Jack",254824,183473.28,7727313.80,253371,250837.29,13295.86,67364.01,26.86,0.99,11311,12764,12037.5000,21.05
3960,"DIAGEO NORTH AMERICA INC   ",1952,"Johnnie Walker Blue Yr Roost",12,2205.84,0.00,5,1249.95,3.94,-955.89,-76.47,0.42,NULL,NULL,NULL,NULL
3960,"DIAGEO NORTH AMERICA INC   ",1989,"Johnnie Walker Black Tin",2054,52089.44,1264158.95,1950,72877.50,1536.66,20788.06,28.52,0.95,NULL,NULL,NULL,NULL
3960,"DIAGEO NORTH AMERICA INC   ",2038,"Bulleit Bourbon",66,1804.44,17151.64,53,1854.47,55.65,50.03,2.70,0.80,NULL,NULL,NULL,NULL
3960,"DIAGEO NORTH AMERICA INC   ",2043,"I.W. Harper Bourbon",729,16818.03,170423.42,655,20591.45,516.64,3773.42,18.33,0.90,322,396,359.0000,1.82
3960,"DIAGEO NORTH AMERICA INC   ",2046,"Whoop & Holler Bourbon",32,4147.84,0.00,32,5599.68,25.19,1451.84,25.93,1.00,NULL,NULL,NULL,NULL
3960,"DIAGEO NORTH AMERICA INC   ",2054,"Johnnie Walker Select Casks",848,29374.72,476789.79,1153,50720.47,909.23,21345.75,42.09,1.36,318,13,165.5000,6.97
3960,"DIAGEO NORTH AMERICA INC   ",2058,"Booth's Cask Mellowed Gin",27,893.16,18357.95,86,3783.14,67.86,2889.98,76.39,3.19,76,17,46.5000,1.85
3960,"DIAGEO NORTH AMERICA INC   ",2109,"Lagavulin Distillers Edition",1162,75227.88,656857.98,1071,97978.29,844.12,22750.41,23.22,0.92,37,128,82.5000,12.98
3960,"DIAGEO NORTH AMERICA INC   ",2219,"Crown Royal Vanilla",11556,17334.00,488314.68,10130,20158.70,527.19,2824.70,14.01,0.88,NULL,NULL,NULL,NULL
3960,"DIAGEO NORTH AMERICA INC   ",2244,"Crown Royal Vanilla",10379,185784.10,994001.01,7615,176577.85,5996.56,-9206.25,-5.21,0.73,NULL,NULL,NULL,NULL
3960,"DIAGEO NORTH AMERICA INC   ",2248,"Rhetoric 22 Year Bourbon",84,6793.08,0.00,84,9239.16,66.11,2446.08,26.48,1.00,NULL,NULL,NULL,NULL
3960,"DIAGEO NORTH AMERICA INC   ",2255,"Crown Royal Party Pak",2381,73239.56,941295.34,2379,95115.21,4371.69,21875.65,23.00,1.00,NULL,NULL,NULL,NULL
3960,"DIAGEO NORTH AMERICA INC   ",2287,"Johnnie Walker Double Black",7176,209682.72,3077489.79,6790,276954.10,5349.80,67271.38,24.29,0.95,1133,1519,1326.0000,5.12
3960,"DIAGEO NORTH AMERICA INC   ",2327,"Crown Royal Shot Glass VAP",5495,96437.25,2552118.25,5494,122173.06,4326.58,25735.81,21.07,1.00,NULL,NULL,NULL,NULL
3960,"DIAGEO NORTH AMERICA INC   ",2354,"Rhetoric 21Yr Bourbon",140,10851.40,106296.19,140,13998.60,110.29,3147.20,22.48,1.00,NULL,NULL,NULL,NULL
3960,"DIAGEO NORTH AMERICA INC   ",2392,"Crown Royal 75th Anniversary",20,1014.40,43208.20,62,4339.38,48.84,3324.98,76.62,3.10,42,0,21.0000,2.95
3960,"DIAGEO NORTH AMERICA INC   ",2418,"Crown Royal Regal Apple",24558,405943.74,5267439.95,24284,570271.16,19122.70,164327.42,28.82,0.99,2530,2804,2667.0000,9.11
3960,"DIAGEO NORTH AMERICA INC   ",2432,"Crown Royal",41893,736897.87,8749578.09,41506,967005.94,32678.12,230108.07,23.80,0.99,7475,7862,7668.5000,5.41
3960,"DIAGEO NORTH AMERICA INC   ",2433,"Crown Royal X R Extra Rare",664,61021.60,426754.17,635,82875.65,501.14,21854.05,26.37,0.96,270,299,284.5000,2.23
3960,"DIAGEO NORTH AMERICA INC   ",2435,"Crown Royal RSV",2666,79340.16,778875.13,2587,103789.13,2040.37,24448.97,23.56,0.97,765,844,804.5000,3.22
3960,"DIAGEO NORTH AMERICA INC   ",2436,"Crown Royal",13383,160462.17,1741140.94,13272,198947.28,5205.85,38485.11,19.34,0.99,1726,1837,1781.5000,7.45
3960,"DIAGEO NORTH AMERICA INC   ",2438,"Crown Royal Special Reserve",1423,77211.98,901952.09,1493,107612.07,2745.18,30400.09,28.25,1.05,587,517,552.0000,2.70
3960,"DIAGEO NORTH AMERICA INC   ",2443,"Seagrams VO",47654,642375.92,16355974.75,47446,902489.54,87173.57,260113.62,28.82,1.00,3826,4034,3930.0000,12.07
3960,"DIAGEO NORTH AMERICA INC   ",2445,"Seagrams VO",8470,76907.60,2247251.23,8253,98953.47,6504.15,22045.87,22.28,0.97,953,1170,1061.5000,7.77
3960,"DIAGEO NORTH AMERICA INC   ",2448,"Seagrams VO Gold",2199,25112.58,608867.44,2171,34714.29,1710.44,9601.71,27.66,0.99,236,264,250.0000,8.68
3960,"DIAGEO NORTH AMERICA INC   ",2454,"Clynelish Single Malt Scotch",149,6822.71,57313.87,148,8878.52,116.79,2055.81,23.15,0.99,NULL,NULL,NULL,NULL
3960,"DIAGEO NORTH AMERICA INC   ",2465,"Crown Royal Mini",27695,59544.25,2194643.03,27048,80873.52,1404.22,21329.27,26.37,0.98,3422,4069,3745.5000,7.22
3960,"DIAGEO NORTH AMERICA INC   ",2466,"Crown Royal Maple Whisky",710,21030.20,311957.67,1218,57233.82,2239.32,36203.62,63.26,1.72,1357,849,1103.0000,1.10
3960,"DIAGEO NORTH AMERICA INC   ",2468,"Crown Royal Nrth Harvest Rye",5168,115711.52,1172573.63,3971,113966.29,3130.07,-1745.23,-1.53,0.77,621,1818,1219.5000,3.26
3960,"DIAGEO NORTH AMERICA INC   ",2476,"Crown Royal Maple Whisky",5543,93066.97,1203957.12,6614,157718.86,5213.19,64651.89,40.99,1.19,1561,490,1025.5000,6.45
3960,"DIAGEO NORTH AMERICA INC   ",2492,"Crown Royal Hand Slct Barrel",797,33203.02,63823.88,1559,84969.41,1228.11,51766.39,60.92,1.96,819,57,438.0000,3.56
3960,"DIAGEO NORTH AMERICA INC   ",2494,"Crown Royal Regal Apple",3703,114793.00,2097996.32,3851,180958.49,7079.63,66165.49,36.56,1.04,916,768,842.0000,4.57
3960,"DIAGEO NORTH AMERICA INC   ",2496,"Crown Royal Black",2163,78343.86,1364060.70,2434,128170.66,4474.97,49826.80,38.88,1.13,726,455,590.5000,4.12
3960,"DIAGEO NORTH AMERICA INC   ",2499,"Crown Royal Black",4429,95356.37,1230039.62,4262,122377.38,3360.52,27021.01,22.08,0.96,897,1064,980.5000,4.35
3960,"DIAGEO NORTH AMERICA INC   ",2508,"Crown Royal No Harvest Rye",2177,3461.43,354390.07,4512,8978.88,231.27,5517.45,61.45,2.07,2752,417,1584.5000,2.85
3960,"DIAGEO NORTH AMERICA INC   ",2568,"Lagavulin 8Yr 200th Ltd Edtn",920,43019.20,101259.62,495,32170.05,390.06,-10849.15,-33.72,0.54,NULL,NULL,NULL,NULL
3960,"DIAGEO NORTH AMERICA INC   ",2570,"Johnnie Walker Gold Rsv",2715,155135.10,785917.78,2119,172043.81,1669.96,16908.71,9.83,0.78,518,1114,816.0000,2.60
3960,"DIAGEO NORTH AMERICA INC   ",2571,"Johnnie Walker Gold Edition",25,1647.00,12797.16,31,2634.69,24.41,987.69,37.49,1.24,6,0,3.0000,10.33
3960,"DIAGEO NORTH AMERICA INC   ",2591,"Cardhu Scotch",1637,48127.80,866140.25,1607,66515.93,1267.49,18388.13,27.64,0.98,449,479,464.0000,3.46
3960,"DIAGEO NORTH AMERICA INC   ",2602,"Caol Ila 12 Yr Islay Single",1352,59271.68,673747.86,1306,76535.94,1030.10,17264.26,22.56,0.97,359,405,382.0000,3.42
3960,"DIAGEO NORTH AMERICA INC   ",2604,"Johnnie Walker Collection 4",1040,76460.80,444776.69,929,92890.71,195.09,16429.91,17.69,0.89,148,259,203.5000,4.57
3960,"DIAGEO NORTH AMERICA INC   ",2626,"Crown Royal Apple",2,2.84,6020.89,14,27.86,0.73,25.02,89.81,7.00,12,0,6.0000,2.33
3960,"DIAGEO NORTH AMERICA INC   ",2650,"Tanqueray Old Tom Gin",5,98.40,6557.39,73,1824.27,76.65,1725.87,94.61,14.60,68,0,34.0000,2.15
3960,"DIAGEO NORTH AMERICA INC   ",2654,"Tanqueray Bloomsbury",417,9369.99,163919.25,1591,46123.09,1670.55,36753.10,79.68,3.82,1229,55,642.0000,2.48
3960,"DIAGEO NORTH AMERICA INC   ",2675,"Crown Royal XO",2276,79386.88,867747.30,2236,102001.64,1763.50,22614.76,22.17,0.98,744,784,764.0000,2.93
3960,"DIAGEO NORTH AMERICA INC   ",2721,"Johnnie Walker Green Label",3736,177870.96,1165156.91,3172,192003.28,2499.49,14132.32,7.36,0.85,689,1253,971.0000,3.27
3960,"DIAGEO NORTH AMERICA INC   ",2722,"J & B Rare",2252,39612.68,677344.42,2556,56206.44,2015.52,16593.76,29.52,1.14,862,558,710.0000,3.60
3960,"DIAGEO NORTH AMERICA INC   ",2723,"J & B Rare",10153,217477.26,4844500.15,9306,289581.94,17103.10,72104.68,24.90,0.92,1300,2147,1723.5000,5.40
3960,"DIAGEO NORTH AMERICA INC   ",2748,"Johnnie Walker Blue Label",991,238424.69,905580.86,964,307040.36,1772.12,68615.67,22.35,0.97,269,296,282.5000,3.41
3960,"DIAGEO NORTH AMERICA INC   ",2749,"John Begg Blue Cap",5198,69549.24,2834547.91,5431,92272.69,9980.15,22723.45,24.63,1.04,703,470,586.5000,9.26
3960,"DIAGEO NORTH AMERICA INC   ",2751,"Johnnie Walker Black Label",6235,99697.65,852087.75,5932,118580.68,2326.30,18883.03,15.92,0.95,691,994,842.5000,7.04
3960,"DIAGEO NORTH AMERICA INC   ",2752,"Johnnie Walker Black Label",12778,336189.18,2912153.15,13083,490792.17,10306.04,154602.99,31.50,1.02,2323,2018,2170.5000,6.03
3960,"DIAGEO NORTH AMERICA INC   ",2753,"Johnnie Walker Black Label",31596,1414552.92,6349782.84,28372,1739044.28,52133.72,324491.36,18.66,0.90,4625,7849,6237.0000,4.55
3960,"DIAGEO NORTH AMERICA INC   ",2755,"Johnnie Walker Red Label",5856,115246.08,1637313.41,5755,143817.45,4536.79,28571.37,19.87,0.98,1507,1608,1557.5000,3.70
3960,"DIAGEO NORTH AMERICA INC   ",2757,"Johnnie Walker Red Label",66942,1498161.96,14890261.44,61433,1840615.67,112875.19,342453.71,18.61,0.92,6094,11603,8848.5000,6.94
3960,"DIAGEO NORTH AMERICA INC   ",2759,"Johnnie Walker Red Label",4543,46066.02,652610.46,4244,59373.56,1660.46,13307.54,22.41,0.93,1134,1433,1283.5000,3.31
3960,"DIAGEO NORTH AMERICA INC   ",2767,"Johnnie Walker Blue Label",2963,413931.10,1446374.84,2761,548648.39,2176.61,134717.29,24.55,0.93,534,736,635.0000,4.35
3960,"DIAGEO NORTH AMERICA INC   ",2772,"Talisker Storm Scotch",1507,69548.05,800275.74,1461,78195.39,1152.45,8647.34,11.06,0.97,407,453,430.0000,3.40
3960,"DIAGEO NORTH AMERICA INC   ",2780,"Bulleit 10 Yr Old Bourbon",3780,107578.80,863011.94,3335,134604.65,2628.88,27025.85,20.08,0.88,899,1344,1121.5000,2.97
3960,"DIAGEO NORTH AMERICA INC   ",2782,"The Gifted Horse",243,9489.15,106160.16,243,12147.57,191.54,2658.42,21.88,1.00,NULL,NULL,NULL,NULL
3960,"DIAGEO NORTH AMERICA INC   ",2795,"George Dickel Rye",1810,33919.40,510603.95,1916,48836.84,1511.10,14917.44,30.55,1.06,638,532,585.0000,3.28
3960,"DIAGEO NORTH AMERICA INC   ",2854,"Talisker 10-Yr Single Malt",3534,135882.30,849595.94,2953,166564.47,2327.95,30682.17,18.42,0.84,1131,1712,1421.5000,2.08
3960,"DIAGEO NORTH AMERICA INC   ",2856,"Cragganmore 12-Yr Sngle Malt",777,32711.70,301549.06,682,39698.18,537.99,6986.48,17.60,0.88,259,354,306.5000,2.23
3960,"DIAGEO NORTH AMERICA INC   ",2862,"Pinch 15-Yr by Haig & Haig",1919,53117.92,588689.86,1844,67732.56,1454.35,14614.64,21.58,0.96,514,589,551.5000,3.34
3960,"DIAGEO NORTH AMERICA INC   ",2868,"Mortlach Single Malt Scotch",175,12400.50,119167.14,184,19488.16,145.22,7087.66,36.37,1.05,221,212,216.5000,0.85
3960,"DIAGEO NORTH AMERICA INC   ",2886,"Buchanans Deluxe 12Yr Scotch",3227,158768.40,1289447.01,2897,179095.03,5323.39,20326.63,11.35,0.90,190,520,355.0000,8.16
3960,"DIAGEO NORTH AMERICA INC   ",2889,"Buchanans Deluxe 12Yr Scotch",14260,328978.20,2260570.40,13468,432258.32,10606.02,103280.12,23.89,0.94,868,1660,1264.0000,10.66
3960,"DIAGEO NORTH AMERICA INC   ",2894,"Scoresby Rare",10762,139260.28,6103798.83,10689,192295.11,19642.79,53034.83,27.58,0.99,1050,1123,1086.5000,9.84
3960,"DIAGEO NORTH AMERICA INC   ",2897,"Haig Club Scotch",270,12754.80,51850.39,164,9918.36,129.40,-2836.44,-28.60,0.61,93,199,146.0000,1.12
3960,"DIAGEO NORTH AMERICA INC   ",2898,"Scoresby Rare",1849,11112.49,604936.92,2479,18507.21,1953.67,7394.72,39.96,1.34,652,22,337.0000,7.36
3960,"DIAGEO NORTH AMERICA INC   ",2903,"White Horse Scotch",42,864.36,20840.49,46,1287.54,84.56,423.18,32.87,1.10,6,2,4.0000,11.50
3960,"DIAGEO NORTH AMERICA INC   ",2908,"Buchanans Deluxe 18 Yr Old",1536,82698.24,813288.52,1357,93502.43,1068.73,10804.19,11.56,0.88,34,213,123.5000,10.99
3960,"DIAGEO NORTH AMERICA INC   ",2935,"Talisker 18 Yr Old Scotch",420,31340.40,221403.54,439,50070.61,346.29,18730.21,37.41,1.05,208,189,198.5000,2.21
3960,"DIAGEO NORTH AMERICA INC   ",2956,"Vat 69 Gold",7317,78365.07,4002624.20,7259,108812.41,13340.06,30447.34,27.98,0.99,864,922,893.0000,8.13
3960,"DIAGEO NORTH AMERICA INC   ",2958,"Dalwhinnie 15-Yr Single Mal",4598,187276.54,1137692.37,4161,247565.39,3280.23,60288.85,24.35,0.91,972,1409,1190.5000,3.50
3960,"DIAGEO NORTH AMERICA INC   ",2968,"Yukon Jack Wicked Hot",12,139.08,4319.32,11,175.89,8.67,36.81,20.93,0.92,NULL,NULL,NULL,NULL
3960,"DIAGEO NORTH AMERICA INC   ",3014,"Smirnoff Coconut",36,365.40,4883.28,31,402.69,24.41,37.29,9.26,0.86,NULL,NULL,NULL,NULL
3960,"DIAGEO NORTH AMERICA INC   ",3025,"Ciroc Snap Frost Vodka",13170,122349.30,2528981.20,13018,159459.82,5115.10,37110.52,23.27,0.99,1303,1455,1379.0000,9.44
3960,"DIAGEO NORTH AMERICA INC   ",3042,"Ciroc Red Berry Vodka",11709,101048.67,2690036.15,11372,140973.78,4467.10,39925.11,28.32,0.97,1260,1597,1428.5000,7.96
3960,"DIAGEO NORTH AMERICA INC   ",3046,"Ciroc Peach Vodka",1995,71440.95,1000531.54,1917,93078.25,3523.24,21637.30,23.25,0.96,410,488,449.0000,4.27
3960,"DIAGEO NORTH AMERICA INC   ",3054,"Smirnoff Kissed Caramel",13670,111273.80,1990274.69,13722,161026.78,10806.70,49752.98,30.90,1.00,1606,1554,1580.0000,8.68
3960,"DIAGEO NORTH AMERICA INC   ",3070,"Peligroso Reposado Tequila",79,1305.87,28250.66,193,4340.07,152.08,3034.20,69.91,2.44,114,0,57.0000,3.39
3960,"DIAGEO NORTH AMERICA INC   ",3072,"Ciroc Peach Vodka",11614,211839.36,2276767.73,11265,283914.35,8874.12,72074.99,25.39,0.97,1765,2114,1939.5000,5.81
3960,"DIAGEO NORTH AMERICA INC   ",3086,"Ciroc Coconut Vodka",3882,135986.46,1472552.59,3868,191347.32,7107.71,55360.86,28.93,1.00,536,550,543.0000,7.12
3960,"DIAGEO NORTH AMERICA INC   ",3100,"Ciroc Red Berry Vodka",2317,79426.76,1105668.86,2288,114196.12,4205.53,34769.36,30.45,0.99,442,471,456.5000,5.01
3960,"DIAGEO NORTH AMERICA INC   ",3102,"Smirnoff Traveler",161386,2088334.84,17237952.01,148265,2592041.35,272422.60,503706.51,19.43,0.92,1087,14208,7647.5000,19.39
3960,"DIAGEO NORTH AMERICA INC   ",3104,"Smirnoff Whipped Cream",6241,54421.52,1496968.91,6245,74882.55,4922.11,20461.03,27.32,1.00,848,844,846.0000,7.38
3960,"DIAGEO NORTH AMERICA INC   ",3107,"Don Julio 70th Anniversary",1292,61331.24,848490.38,1186,79175.14,935.33,17843.90,22.54,0.92,233,339,286.0000,4.15
3960,"DIAGEO NORTH AMERICA INC   ",3123,"Booths London Dry Gin",7370,80627.80,3970117.08,7379,110611.21,13559.44,29983.41,27.11,1.00,1043,1034,1038.5000,7.11
3960,"DIAGEO NORTH AMERICA INC   ",3135,"Smirnoff Cinn Sugar Twist",24,227.52,0.00,18,233.82,14.19,6.30,2.69,0.75,NULL,NULL,NULL,NULL
3960,"DIAGEO NORTH AMERICA INC   ",3142,"Smirnoff Sourced Cran/Apple",23055,17060.70,1034904.04,22314,22090.86,1166.02,5030.16,22.77,0.97,NULL,NULL,NULL,NULL
3960,"DIAGEO NORTH AMERICA INC   ",3148,"Ciroc Mango Vodka",2018,71114.32,302983.60,1465,71770.35,2692.21,656.03,0.91,0.73,NULL,NULL,NULL,NULL
3960,"DIAGEO NORTH AMERICA INC   ",3186,"Smirnoff Mango Vodka",36,359.64,9737.35,36,467.64,28.36,108.00,23.09,1.00,NULL,NULL,NULL,NULL
3960,"DIAGEO NORTH AMERICA INC   ",3198,"Smirnoff Peach Vodka",83,849.09,8657.55,34,441.66,26.80,-407.43,-92.25,0.41,NULL,NULL,NULL,NULL
3960,"DIAGEO NORTH AMERICA INC   ",3210,"Smirnoff Sourced Pineapple",23346,18443.34,1044444.03,22282,22059.18,1162.06,3615.84,16.39,0.95,NULL,NULL,NULL,NULL
3960,"DIAGEO NORTH AMERICA INC   ",3213,"Smirnoff Pomegrante Vodka",12,115.44,4531.33,12,155.88,9.45,40.44,25.94,1.00,NULL,NULL,NULL,NULL
3960,"DIAGEO NORTH AMERICA INC   ",3214,"Ciroc Mango Vodka",8702,173952.98,191360.58,6566,164084.34,5170.69,-9868.64,-6.01,0.75,NULL,NULL,NULL,NULL
3960,"DIAGEO NORTH AMERICA INC   ",3226,"Ciroc Mango Vodka",7869,67909.47,259034.08,7231,86699.69,2844.04,18790.22,21.67,0.92,NULL,NULL,NULL,NULL
3960,"DIAGEO NORTH AMERICA INC   ",3228,"Ciroc Mango Vodka",10295,15957.25,302983.60,7931,15782.69,411.68,-174.56,-1.11,0.77,NULL,NULL,NULL,NULL
3960,"DIAGEO NORTH AMERICA INC   ",3252,"Smirnoff Sourced Cran Apple",3400,27268.00,895340.40,2690,29118.10,2120.36,1850.10,6.35,0.79,NULL,NULL,NULL,NULL
3960,"DIAGEO NORTH AMERICA INC   ",3276,"Gordons London Dry",44631,429350.22,17237136.38,44434,643753.66,81641.21,214403.44,33.31,1.00,3463,3660,3561.5000,12.48
3960,"DIAGEO NORTH AMERICA INC   ",3278,"Gordons London Dry",14006,81094.74,3847390.64,13920,111220.80,10966.58,30126.06,27.09,0.99,1332,1418,1375.0000,10.12
3960,"DIAGEO NORTH AMERICA INC   ",3286,"Ciroc Snap Frost Vodka",3283,118450.64,1542499.20,3287,164221.13,6041.22,45770.49,27.87,1.00,573,569,571.0000,5.76
3960,"DIAGEO NORTH AMERICA INC   ",3300,"Smirnoff Sorbet Mango/Pasion",9336,6628.56,731993.54,13787,13649.13,715.56,7020.57,51.44,1.48,4506,55,2280.5000,6.05
3960,"DIAGEO NORTH AMERICA INC   ",3315,"Smirnoff Sorbet Rasp/Pomegra",57430,42498.20,3506146.99,55546,54990.54,2900.90,12492.34,22.72,0.97,3967,5851,4909.0000,11.32
3960,"DIAGEO NORTH AMERICA INC   ",3316,"Ciroc Peach Vodka",12815,113797.20,2358011.85,12459,152526.41,4896.90,38729.21,25.39,0.97,1183,1539,1361.0000,9.15
3960,"DIAGEO NORTH AMERICA INC   ",3335,"Tanqueray Sterling Vodka",5868,47765.52,1027126.05,6315,69401.85,4977.53,21636.33,31.18,1.08,983,536,759.5000,8.31
3960,"DIAGEO NORTH AMERICA INC   ",3352,"Ciroc Coconut Vodka",18095,340005.05,2766774.91,18976,474449.24,14945.69,134444.19,28.34,1.05,2253,1372,1812.5000,10.47
3960,"DIAGEO NORTH AMERICA INC   ",3354,"Ketel One Vodka",5776,61860.96,1582073.14,5610,84093.90,2196.79,22232.94,26.44,0.97,1138,1304,1221.0000,4.59
3960,"DIAGEO NORTH AMERICA INC   ",3366,"Tanqueray Rangpur Gin",6132,149927.40,3306029.70,6009,211241.91,11045.01,61314.51,29.03,0.98,928,1051,989.5000,6.07
3960,"DIAGEO NORTH AMERICA INC   ",3372,"Smirnoff Sourced Pineapple",2982,23408.70,844902.08,1977,21429.73,1558.46,-1978.97,-9.23,0.66,NULL,NULL,NULL,NULL
3960,"DIAGEO NORTH AMERICA INC   ",3377,"Tanqueray Rangpur Gin",2150,39237.50,710869.44,2222,53805.78,1752.36,14568.28,27.08,1.03,529,457,493.0000,4.51
3960,"DIAGEO NORTH AMERICA INC   ",3395,"Jeremiah Weed Sweet Tea Vdka",343,3481.45,147832.17,1046,12027.54,824.09,8546.09,71.05,3.05,703,0,351.5000,2.98
3960,"DIAGEO NORTH AMERICA INC   ",3396,"Smirnoff Vanilla Vodka",8468,116265.64,3488819.38,8584,175850.16,15777.01,59584.52,33.88,1.01,1743,1627,1685.0000,5.09
3960,"DIAGEO NORTH AMERICA INC   ",3397,"Ciroc Red Berry Vodka",12012,219098.88,2748507.26,12058,305545.42,9498.55,86446.54,28.29,1.00,2049,2003,2026.0000,5.95
3960,"DIAGEO NORTH AMERICA INC   ",3408,"Ketel One Oranje",117,1827.54,31190.91,168,3442.32,132.41,1614.78,46.91,1.44,101,50,75.5000,2.23
3960,"DIAGEO NORTH AMERICA INC   ",3424,"Peligroso Cinnamon Tequila",24,278.16,13086.31,136,2174.64,107.15,1896.48,87.21,5.67,137,25,81.0000,1.68
3960,"DIAGEO NORTH AMERICA INC   ",3451,"Smirnoff Root Beer Float",40,301.20,16855.27,44,536.56,34.62,235.36,43.86,1.10,4,0,2.0000,22.00
3960,"DIAGEO NORTH AMERICA INC   ",3456,"Tanqueray Sterling Vodka",26543,352225.61,6610127.75,25684,483047.16,47193.95,130821.55,27.08,0.97,2725,3584,3154.5000,8.14
3960,"DIAGEO NORTH AMERICA INC   ",3458,"Ciroc Amaretto Vodka",1841,27872.74,516317.88,2795,56042.05,2202.80,28169.31,50.26,1.52,1669,715,1192.0000,2.34
3960,"DIAGEO NORTH AMERICA INC   ",3486,Tanqueray,8316,81829.44,1268165.29,8273,107466.27,3241.84,25636.83,23.86,0.99,1506,1549,1527.5000,5.42
